id,title,year,abstract
10.1.1.46.8264,A Declarative Semantics for Behavioral Inheritance and Conflict Resolution,1995,"We propose a novel semantics for object-oriented deductive databases in the direction of F-logic to logically account for behavioral inheritance, conflict resolution in multiple inheritance hierarchies, and overriding. We introduce the ideas of withdrawal,  locality, and inheritability of properties (i.e., methods and signatures). Exploiting these ideas, we develop a declarative semantics of behavioral inheritance and overriding without having to resort to non-monotonic reasoning. Conflict resolution in our model can be achieved both via specification and by detection. The possibility of specification based conflict resolution through withdrawal allows users to define inheritance preference. We present a formal account of the semantics of our language by defining a model theory, proof theory and a fixpoint theory. We also show that the different characterizations of our language are equivalent.  Key Words: object-orientation, behavioral inheritance, overriding, conflict resolution, ded..."
10.1.1.46.7869,A Declarative Semantics for Behavioral Inheritance and Conflict Resolution,1995,"We propose a novel semantics for object-oriented deductive databases in the direction of F-logic to logically account for behavioral inheritance, conflict resolution in multiple inheritance hierarchies, and overriding. We introduce the ideas of withdrawal,  locality, and inheritability of properties (i.e., methods and signatures). Exploiting these ideas, we develop a declarative semantics of behavioral inheritance and overriding without having to resort to non-monotonic reasoning. Conflict resolution in our model can be achieved both via specification and by detection. The possibility of specification based conflict resolution through withdrawal allows users to define inheritance preference. We present a formal account of the semantics of our language by defining a model theory, proof theory and a fixpoint theory. We also show that the different characterizations of our language are equivalent.  "
10.1.1.46.7208,Attempto Controlled English (ACE),1999,Contents 1 What is Attempto Controlled English (ACE)? .................................................................1 2 ACE in a Nutshell.............................................................................................................2 3 Grammar of ACE..............................................................................................................9  3.1 Some Terminology............................................................................................................................. 9 3.2 Simple Sentences ............................................................................................................................. 10 3.2.1 Basic Form .......................................................................................................................... 10 3.2.2 Modifying Nouns and Noun Phrases .................................................................................. 12 3.2.2.1 Adjectives ...................
10.1.1.46.6466,Decoupled Simulation in Virtual Reality with The MR Toolkit,1993,"The Virtual Reality (VR) user interface style allows natural hand and body motions to manipulate  virtual objects in 3D environments using one or more 3D input devices. This style is best suited  to application areas where traditional two-dimensional styles fall short, such as scientific visualization,  architectural visualization, and remote manipulation. Currently, the programming effort required to  produce a VR application is too large, and many pitfalls must be avoided in the creation of successful  VR programs. In this paper we describe the Decoupled Simulation Model for creating successful VR  applications, and a software system that embodies this model. The MR Toolkit simplifies the development  of VR applications by providing standard facilities required by a wide range of VR user interfaces.  These facilities include support for distributed computing, head-mounted displays, room geometry management,  performance monitoring, hand input devices, and sound feedback. The MR Toolk..."
10.1.1.45.9371,Managing Surrogate Objectives to Optimize a Helicopter Rotor Design -- Further Experiments,1998,"It is common engineering practice to use response surface approximations as surrogates for an expensive objective function in engineering design. The rationale is to reduce the number of detailed, costly analyses required during optimization. In earlier work, we developed a rigorous and effective scheme for managing the interplay between the use of surrogates in the optimization and scheduled progress checks with the expensive analysis so that the process converges to a solution of the original design problem. In this paper, we will report our latest numerical tests with a helicopter rotor design problem which has proved to be a fruitful laboratory for experimentation. The results given here support the use of an ANOVA decomposition on a DACE model to identify the most important optimization variables in an optimal design problem. "
10.1.1.45.8831,Mining Knowledge in Geographical Data,1998,"this article, a short overview is provided to summarize recent studies on spatial data mining, including spatial data mining techniques, their strengths and weaknesses, how and when to apply them, and what are the challenges yet to be faced."
10.1.1.45.6507,On the Computation Power of Randomized Branching Programs,1998,"We survey some upper and lower bounds established recently on the sizes of randomized branching programs computing explicit boolean functions. In particular, we display boolean functions on which randomized  read-once ordered branching programs are exponentially more powerful than deterministic or nondeterministic read-k-times branching programs for any k = o(n=log n). We investigate further computational power of  randomized read-once order branching programs (OBDDs) and their basic manipulation properties for verification of boolean functions and for testing graphs of arithmetic functions.  "
10.1.1.45.560,TIA Software User's Manual,,"this report is for accurate reporting and does not constitute an official endorsement, either expressed or implied, of such products or manufacturers by the National Aeronautics and Space Administration. Arvind R. Prabhu, Analytical Services & Materials, Inc., Hampton, Virginia, has also contributed to the development of the Thermal Imaging Application. Work was supported under contracts NAS119236 and NAS1-20043 with Analytical Services & Materials, Inc., Hampton, Virginia. Available electronically at the following URL address: http://techreports.larc.nasa.gov/ltrs/ltrs.html  iii"
10.1.1.45.4417,A Guide to Complexity Theory in Operations Research,1996,": It is a well-known fact that there exists an ever increasing number of problems for which, despite the efforts of many inventive and persistent researchers, it seems virtually impossible to find efficient algorithms. In this situation, the theory of computational complexity may provide helpful insight into how probable the existence of such algorithms is at all. Unluckily, some of its concepts can still be found to be used erroneously, if at all. For instance, it is a common misunderstanding that any problem that generalizes an NP-complete problem is NP-complete or NP-hard itself; indeed any such generalization could as well be exponential in the worst case, i.e. solvable with effort exponentially increasing in the size of the instances attempted. In this work we develop the basic concepts of complexity theory. While doing so, we aim at presenting the material in a way that emphasizes the correspondences between the kind of problems considered in operations research and the formal pr..."
10.1.1.45.4313,On the Computation Power of Randomized Branching Programs,1996,"  We survey some upper and lower bounds established recently on the sizes of randomized branching programs computing explicit boolean functions. In particular, we display boolean functions on which randomized  read-once ordered branching programs are exponentially more powerful than deterministic or nondeterministic read-k-times branching programs for any k = o(n=log n). We investigate further computational power of  randomized read-once order branching programs (OBDDs) and their basic manipulation properties for verification of boolean functions and for testing graphs of arithmetic functions.  "
10.1.1.45.1315,Communication Issues in Heterogeneous Embedded Systems,1996,The recent accelerated development of scalable computing systems has made possible the coordinated use of a suite of High Performance Computing (HPC) components for computationally demanding problems in embedded applications. These emerging Scalable Heterogeneous High Performance Embedded (SHHiPE) systems are designed using commercial-offthe -shelf (COTS) modules. Our current interest is to employ these platforms to solve variety of problems in real-time signal processing. Large performance gains can be realized by exploiting knowledge of the computational structure of an algorithm through data remapping. We present the motivation for a portable programming paradigm that captures key features of a SHHiPE platform. The Message Passing Interface (MPI) standard is proposed as a basis for development of this paradigm. An application in sonar is used to illustrate typical communication requirements in SHHiPE systems. 1 Introduction  Scalable Heterogeneous High Performance Embedded (SHHiPE) ...
10.1.1.44.9058,Algorithms for Index-Assisted Selectivity Estimation,1998,"The standard mechanisms for query selectivity estimation used in relational database systems rely on properties specific to the attribute types. The query optimizer in an extensible database system will, in general, be unable to exploit these mechanisms for user-defined types, forcing the database extender to invent new estimation mechanisms. In this work, we discuss extensions to the generalized search tree, or GiST, that simplify the creation of user-defined selectivity estimation methods. An experimental comparison of such methods with multidimensional estimators from the literature has demonstrated very competitive results. 1. Motivation and General Approach  There has been considerable research in the development of query selectivity estimation techniques, but relatively little in the context of frameworks that can be applied to arbitrary user-defined types. The general frameworks that have been proposed tend to be conceptually simple APIs that impose significant implementation co..."
10.1.1.44.8237,Average-Case Complexity of Shortest-Paths Problems in the Vertex-Potential Model,2000,"We study the average-case complexity of shortest-paths problems in the vertex-potential model. The vertex-potential model is a family of probability distributions on complete directed graphs with arbitrary  real edge lengths but without negative cycles. We show that on a graph with n vertices and with respect to this model, the single-source shortest-paths problem can be solved in O(n²) expected time, and the all-pairs shortest-paths problem can be solved in O(n² log n) expected time. "
10.1.1.44.641,The Future of Spin Networks,1997,"Since Roger Penrose first introduced the notion of a spin network as a simple model of discrete quantum geometry, they have reappeared in quantum gauge theories, quantum gravity, topological quantum field theory and conformal field theory. The roles that spin networks play in these contexts are briefly described, with an emphasis on the question of the relationships among them. It is also argued that spin networks and their generalizations provide a language which may lead to a unification of the different approaches to quantum gravity and quantum geometry. This leads to a set of conjectures about the form of a future theory that may be simultaneously an extension of the non-perturbative quantization of general relativity and a non-perturbative formulation of string theory.    smolin@phys.psu.edu  ""A reformulation is suggested in which quantities normally requiring continuous coordinates for their description are eliminated from primary consideration. In particular, since space and ti..."
10.1.1.44.5598,A Fast Table-Driven Method for Edge Thinning and Linking,1999,"This paper describes fast but effective methods for edge thinning and linking. It has its genesis partly in the idea that it is often preferable to perform simple actions quickly rather than to attempt to do more sophisticated things that take longer. This idea is particularly attractive in the area of real-time computer vision, where the flow of input data may be otherwise overwhelming. We describe computationally cheap table-driven versions of the conventional techniques of edge thinning and edge linking that involve no transcendental functions and only integer arithmetic. Details are given of their computational speed on some representative images. 1. Introduction Edges are important features for object recognition and for matching for stereo and motion analysis. Edge features can be obtained from raw edge detector responses by a process of edge thinning and edge linking. Here we present fast table-driven techniques to perform edge thinning and linking. The basic approach of edge de..."
10.1.1.44.4010,The Shape of a Typical Boxed Plane Partition,1998,". Using a calculus of variations approach, we determine the shape of a typical plane partition in a large box (i.e., a plane partition chosen at random according to the uniform distribution on all plane partitions whose solid Young diagrams fit inside the box). Equivalently, we describe the distribution of the three different orientations of lozenges in a random lozenge tiling of a large hexagon. We prove a generalization of the classical formula of MacMahon for the number of plane partitions in a box; for each of the possible ways in which the tilings of a region can behave when restricted to certain lines, our formula tells the number of tilings that behave in that way. When we take a suitable limit, this formula gives us a functional which we must maximize to determine the asymptotic behavior of a plane partition in a box. Once the variational problem has been set up, we analyze it using a modification of the methods employed by Logan and Shepp and by Vershik and Kerov in their stud..."
10.1.1.44.2857,Propagation Rule Compiler: Technical Documentation,1996,The Propagation Rule Compiler (PROP) is a tool developed within the ESPRIT III project IDEA (Intelligent Database Environment for Advanced Applications) . It aims at supporting developers of Chimera applications during schema design and prototyping. PROP consists of two components: the rule compiler as such and an explanation facility. The task of the explanation facility is to graphically illustrate the logical dependencies established via deductive rules of a given Chimera schema. The purpose of the compilation unit is to generate update propagation triggers from deductive rules. Such triggers are able to automatically compute all implicit changes of a Chimera database once a specific updating transaction has been issued. PROP has been integrated as a subcomponent into Bonn's Chimera Prototyping Tool (CPT). The purpose of this document is to provide the technical documentation of the rule compilation process.   This report has been issued to the ESPRIT III project 6333 (IDEA) as deli...
10.1.1.44.2822,Usability of Parallel I/O Templates,,"This paper presents an alternative high-level approach to parallelizing file I/O. Each parallel file descriptor is annotated with a high-level specification, or template, of the expected parallel behaviour. The annotations are external to and independent of the source code. At run-time, all I/O using a template file descriptor adheres to the semantics of the selected template. By separating the parallel I/O behaviour from the code, a user can quickly change I/O semantics without rewriting code. Templates can be combined hierarchically to allow the simple construction of complex access patterns. Two sample parallel programs using these templates are compared against versions implemented in an existing parallel I/O system (PIOUS). The sample programs show that the use of parallel I/O templates are beneficial from both the performance and software engineering points of view.  1 Introduction  The development of parallel applications has focused on computational parallelism. However, the co..."
10.1.1.43.9196,A Study of User Participation in Standards Setting,1996,"This paper explores the views of members of standards setting organisations in the field of electronic communications. It focuses in particular on their experiences of, and attitudes towards, user participation in standards setting. KEYWORDS: standardisation, e-mail, user requirements INTRODUCTION AND MOTIVATION Conventional approaches to the usability of IT privilege the role of design. Elsewhere we have argued for a broader perspective that addresses the whole of the technology life cycle [3]. For example, many important decisions have already been made before designers begin their task. As a result, IT design work increasingly incorporates, and is structured around, standard components which collectively define the technical framework within which design must be accomplished. In the past, the growing requirement for system interoperability has established the need for standardised communications services. More recently, communications standards have targeted higher level services [4..."
10.1.1.43.8921,Restructuring Partitioned Normal Form Relations Without Information Loss,1997,"Nested relations in partitioned normal form (PNF) are an important subclass of nested relations that are useful in many applications. In this paper we address the question of determining when every PNF relation stored under one nested relation scheme can be transformed into another PNF relation stored under a different nested relation scheme without loss of information, referred to as the two schemes being data equivalent. This issue is important in many database application areas such as view processing, schema integration and schema evolution. The main result of the paper provides two characterisations of data equivalence for nested schemes. The first is that two schemes are data equivalent if and only if the two sets of multivalued dependencies induced by the two corresponding scheme trees are equivalent. The second is that the schemes are equivalent if and only if the corresponding scheme trees can be transformed into the other by a sequence of applications of a local restructuring..."
10.1.1.43.8609,Model based Bayesian Exploration,1999,Reinforcement learning systems are often concerned with balancing exploration of untested actions against exploitation of actions that are known to be good. The benefit of exploration can be estimated using the classical notion of Value of Information --- the expected improvement in future decision quality arising from the information acquired by exploration. Estimating this quantity requires an assessment of the agent's uncertainty about its current value estimates for states. In this paper we investigate ways to represent and reason about this uncertainty in algorithms where the system attempts to learn a model of its environment. We explicitly represent uncertainty about the parameters of the model and build probability distributions over Qvalues based on these. These distributions are used to compute a myopic approximation to the value of information for each action and hence to select the action that best balances exploration and exploitation. 1 Introduction  Reinforcement learnin...
10.1.1.42.5336,Querying as an Enabling Technology in Software Reengineering,1999,"In this paper it is argued that different kinds of reengineering technologies can be based on querying. Several reengineering technologies are presented as being integrated into a technically oriented reengineering taxonomy. The usefulness of querying is pointed out with respect to these reengineering technologies.  To impose querying as a base technology in reengineering examples are given with respect to the EER/GRAL approach to conceptual modeling and implementation. This approach is presented together with GReQL as its query part. The different reengineering technologies are finally reviewed in the context of the GReQL query facility.  1 Introduction  Reengineering may be viewed as any activity that either improves the understanding of a software or else improves the software itself [2].  According to this view software reengineering can be ""partitioned"" into two kinds of activities. The first kind of activities is concerned with understanding such as source code retrieval, browsin..."
10.1.1.42.4604,Domains of Concern in Software Architectures and Architecture Description Languages,1997,"Software architectures shift the focus of developers from lines-of-code to coarser-grained elements and their interconnection structure. Architecture description languages (ADLs) have been proposed as domain-specific languages for the domain of software architecture. There is still little consensus in the research community on what problems are most important to address in a study of software architecture, what aspects of an architecture should be modeled in an ADL, or even what an ADL is. To shed light on these issues, we provide a framework of architectural domains, or areas of concern in the study of software architectures. We evaluate existing ADLs with respect to the framework and study the relationship between architectural and application domains. One conclusion is that, while the architectural domains perspective enables one to approach architectures and ADLs in a new, more structured manner, further understanding of architectural domains, their tie to application domains, and ..."
10.1.1.41.871,Efficient Approximation and Optimization Algorithms for Computational Metrology,1997,"We give efficient algorithms for solving several geometric problems in computational metrology, focusing on the fundamental issues of ""flatness"" and ""roundness."" Specifically, we give approximate and exact algorithms for 2- and 3-dimensional roundness primitives, deriving results that improve previous approaches in several respects, including problem definition, running time, underlying computational model, and dimensionality of the input. We also study methods for determining the width of a d-dimensional point set, which corresponds to the metrology notion of ""flatness,"" giving an approximation method that can serve as a fast exactcomputation filter for this metrology primitive. Finally, we report on experimental results derived from implementation and testing, particularly in 3-space, of our approximation algorithms, including several heuristics designed to significantly speed-up the computations in practice.  1 Introduction  Dimensional Tolerancing and Metrology (DT&M) is concerned ..."
10.1.1.41.5224,Properties of Terms in Continuation-Passing Style in an Ordered Logical Framework,2000,"Machine  We now begin extending our representation to include evaluation of CPS terms. We will begin by showing a representation of a naive evaluator which makes no use of the ordering invariants. The following is a bare abstract machine for CPS evaluation.  `  Exp B  e ,! a  `  Root B k: e ,! a `  Exp B  k t ,! t `  Exp B  e[t=v] ,! a  `  Root B (v: e) t ,! a  `  Exp B  e[t=x][c=k] ,! a  `  Root B (x: k: e) t c ,! a 9  Notice that this machine describes a regular big-step operational semantics for a -calculus---  every redex is reduced by a substitution. We introduce two type constructors to represent bare evaluations:  evalr B : root ! triv ! type: evale B : exp ! triv ! type:  Additionally, we introduce a new object to our signature for CPS terms:  ret : cont ret  1  will be substituted for the continuation identifiers, k, in bare evaluations. In order to make the inverse representation function on objects well-defined, we augment it with a continuation identifier  k when applied t..."
10.1.1.41.3037,"Manageability, Availability and Performance in Porcupine: A Highly Scalable, Cluster-Based Mail Service",1999,"This paper describes the motivation, design, and performance of Porcupine, a scalable mail server. The goal of Porcupine is to provide a highly available and scalable electronic mail service using a large cluster of commodity PCs. We designed Porcupine to be easy to manage by emphasizing dynamic load balancing, automatic configuration, and graceful degradation in the presence of failures. Key to the system's manageability, availability, and performance is that sessions, data, and underlying services are distributed homogeneously and dynamically across nodes in a cluster. 1 Introduction The growth of the Internet has led to the need for highly scalable and highly available services. This paper describes the Porcupine scalable electronic mail service. Porcupine achieves scalability by clustering many small machines (PCs), enabling them to work together in an efficient manner. In this section, we describe system requirements for Porcupine, relate the rationale for choosing a mail applic..."
10.1.1.41.2580,DyC: An Expressive Annotation-Directed Dynamic Compiler for C,1998,"We present the design of DyC, a dynamic-compilation system for C based on run-time specialization. Directed by a few declarative user annotations that specify the variables and code on which dynamic compilation should take place, a binding-time analysis computes the set of run-time constants at each program point in the annotated procedure's control-flow graph; the analysis supports programpoint -specific polyvariant division and specialization. The analysis results guide the construction of a specialized run-time specializer for each dynamically compiled region; the specializer supports various caching strategies for managing dynamically generated code and mixes of speculative and demand-driven specialization of dynamic branch successors. Most of the key cost/benefit trade-offs in the binding-time analysis and the run-time specializer are open to user control through declarative policy annotations.  Our design has been implemented in the context of an existing optimizing compiler, and..."
10.1.1.40.9299,The Click modular router,1999,"Click is a new software architecture for building flexible and configurable routers. A Click router is assembled from packet processing modules called elements. Individual elements implement simple router functions like packet classification, queueing, scheduling, and interfacing with network devices. Complete configurations are built by connecting elements into a graph; packets flow along the graph's edges. Several features make individual elements more powerful and complex configurations easier to write, including pull processing, which models packet flow driven by transmitting interfaces, and flow-based router context, which helps an element locate other interesting elements.  We demonstrate several working configurations, including an IP router and an Ethernet bridge. These configurations are modular---the IP router has 16 elements on the forwarding path---and easy to extend by adding additional elements, which we demonstrate with augmented configurations. On commodity PC hardware ..."
10.1.1.40.9196,A Formal Specification of dMARS,1997," The Procedural Reasoning System (PRS) is the best established agent architecture currently available. It has been deployed in many major industrial applications, ranging from fault diagnosis on the space shuttle to air traffic management and business process control. The theory of PRS-like systems has also been widely studied: within the intelligent agents research community, the beliefdesire -intention (BDI) model of practical reasoning that underpins PRS is arguably the dominant force in the theoretical foundations of rational agency. Despite the interest in PRS and BDI agents, no complete attempt has yet been made to precisely specify the behaviour of real PRS systems. This has led to the development of a range of systems that claim to conform to the PRS model, but which differ from it in many important respects. Our aim in this paper is to rectify this omission. We provide an abstract formal model of an idealised dMARS system (the most recent implementation of the PRS architectur..."
10.1.1.40.7389,Communication Issues in Heterogeneous Embedded Systems,1996,The recent accelerated development of scalable computing systems has made possible the coordinated use of a suite of High Performance Computing (HPC) components for computationally demanding problems in embedded applications. These emerging Scalable Heterogeneous High Performance Embedded (SHHiPE) systems are designed using commercial-offthe -shelf (COTS) modules. Our current interest is to employ these platforms to solve variety of problems in real-time signal processing. Large performance gains can be realized by exploiting knowledge of the computational structure of an algorithm through data remapping. We present the motivation for a portable programming paradigm that captures key features of a SHHiPE platform. The Message Passing Interface (MPI) standard is proposed as a basis for development of this paradigm. An application in sonar is used to illustrate typical communication requirements in SHHiPE systems. 1 Introduction  Scalable Heterogeneous High Performance Embedded (SHHiPE) ...
10.1.1.40.4852,Towards a Computational Theory of Rat Navigation,1994,"ut, and place fields can form when the animal explores novel environments in the dark. Place cells also continue to fire when distal landmarks are removed, but permutation of landmarks causes the animal to behave as if it were in an unfamiliar environment. Finally, place cell firing may be dependent on head direction, at least under certain conditions. An acceptable model of place memory must allow the ""current place"" to be updated by non-visual means such as motor feedback, and must be both sensitive to visual cues and robust in their absence. We propose a computational theory of the core of rat navigation abilities, based on coupled mechanisms for path integration, place recognition, and maintenance of head direction. We assume the rat has a path integration system (see [Etienne 1987, Mittelstaedt & Mittelstaedt 1980]) that is able to keep track of its current position relative to selected reference points. We postulate that hippocampal pyramidal cells form place descriptions by lear"
10.1.1.40.4535,Credit-Flow-Controlled ATM for MP Interconnection: the ATLAS I Single-Chip ATM Switch,1998,"Multiprocessing (MP) on networks of workstations (NOW) is a high-performance computing architecture of growing importance. In traditional MP's, wormhole routing interconnection networks use fixed-size flits and backpressure. In NOW's, ATM-one of the major contending interconnection technologies- uses fixed-size cells, while backpressure can be added to it. We argue that ATM with backpressure has interesting similarities with wormhole routing. We are implementing ATLAS I, a single-chip gigabit ATM switch, which includes credit flow control (backpressure), according to a protocol resembling Quantum Flow Control (QFC). We show by simulation that this protocol performs better than the traditional multi-lane wormhole protocol: high throughput and low latency are provided with less buffer space. Also, ATLAS I demonstrates little sensitivity to bursty traffic, and, unlike wormhole, it is fair in terms of latency in hot-spot configurations. We use detailed switch models, operating at clock-cyc..."
10.1.1.40.4007,What You Always Wanted to Know About Genetic Algorithms But Were Afraid to Hear,,"In spite of their seemingly \obvious"" virtues  as a search strategy, genetic algorithms have  ended up playing only a modest role as design  tools in science and engineering. We review  the reasons for this apparent failure, and we  suggest a more relaxed view of their utility.  1 INTRODUCTION  \Adaptive evolution is the motor of biology. But its mechanisms are so general that they should be eective in shaping articial systems as well!"" This was the manifesto John Holland read out at the beginning of the 70's. What many heard, or pretended to hear, was a message with more haste and more hubris: \Biological evolution works wonders. Let us apply its methods to engineering and we'll work wonders ourselves!""  Thus, the genetic algorithm (GA) soon found its way in the engineer's toolbox, to be employed as a readyto -use feedback loop for design optimization (Shaer 1999); the problem-specic part is supplied through a \tness function"". This combination works much like the generic operati..."
10.1.1.40.2308,Evolving Algebras and Partial Evaluation,1994,We describe an automated partial evaluator for evolving algebras implemented at the University of Michigan.
10.1.1.40.1501,Domains of Concern in Software Architectures and Architecture Description Languages,1997,"Software architectures shift the focus of developers from lines-of-code to coarser-grained elements and their interconnection structure. Architecture description languages (ADLs) have been proposed as domain-specific languages for the domain of software architecture. There is still little consensus in the research community on what problems are most important to address in a study of software architecture, what aspects of an architecture should be modeled in an ADL, or even what an ADL is. To shed light on these issues, we provide a framework of architectural domains, or areas of concern in the study of software architectures. We evaluate existing ADLs with respect to the framework and study the relationship between architectural and application domains. One conclusion is that, while the architectural domains perspective enables one to approach architectures and ADLs in a new, more structured manner, further understanding of architectural domains, their tie to application domains, and ..."
10.1.1.40.1490,"The Architectural Costs of Streaming I/O: A Comparison of Workstations, Clusters, and SMPs",1998,"We investigate resource usage while performing streaming I/O by contrasting three architectures, a single workstation, a cluster, and an SMP, under various I/O benchmarks. We derive analytical and empiricallybased models of resource usage during data transfer, examining the I/O bus, memory bus, network, and processor of each system. By investigating each resource in detail, we assess what comprises a wellbalanced system for these workloads.  We find that the architectures we study are not well balanced for streaming I/O applications. Across the platforms, the main limitation to attaining peak performance is the CPU, due to lack of data locality. Increasing processorperformance (especially with improved block operation performance) will be of great aid for these workloads in the future. For a cluster workstation, the I/O bus is a major system bottleneck, because of the increased load placed on it from network communication. Awell-balanced cluster workstation should have copious I/O bus b..."
10.1.1.4.7825,Processor Acceleration Through Automated Instruction Set Customization,2003,"Application-specific extensions to the computational capabilities of a processor provide an efficient mechanism to meet the growing performance and power demands of embedded applications. Hardware, in the form of new function units (or co-processors), and the corresponding instructions, are added to a baseline processor to meet the critical computational demands of a target application. The central challenge with this approach is the large degree of human effort required to identify and create the custom hardware units, as well as porting the application to the extended processor. In this paper, we present the design of a system to automate the instruction set customization process. A dataflow graph design space exploration engine efficiently identifies profitable computation subgraphs from which to create custom hardware, without artificially constraining their size or shape. The system also contains a compiler subgraph matching framework that identifies opportunities to exploit and generalize the hardware to support more computation graphs. We demonstrate the effectiveness of this system across a range of application domains and study the applicability of the custom hardware across the domain."
10.1.1.4.1954, 	 Abductive plan recognition and diagnosis: A comprehensive empirical evaluation ,1992,"While it has been realized for quite some time  within AI that abduction is a general model  of explanation for a variety of tasks, there  have been no empirical investigations into the  practical feasibility of a general, logic-based  abductive approach to explanation. In this  paper we present extensive empirical results  on applying a general abductive system, Accel,  to moderately complex problems in plan  recognition and diagnosis. In plan recognition,   Accel has been tested on 50 short narrative  texts, inferring characters' plans from  actions described in a text. In medical diagnosis,   Accel has diagnosed 50 real-world  patient cases involving brain damage due to  stroke (previously addressed by set-covering  methods). Accel also uses abduction to accomplish  model-based diagnosis of logic circuits  (a full adder) and continuous dynamic  systems (a temperature controller and the  water balance system of the human kidney). The"
10.1.1.4.1254,"Misperception, Communication and Diversity",2002,It is commonly agreed upon that misperception is detrimental.
10.1.1.39.6147,Insertion of an Articulated Human into a Networked Virtual Environment,1994,This paper
10.1.1.39.1298,Lazy Rewriting on Eager Machinery,1995,"We define Lazy Term Rewriting Systems and show that they can be realized by local adaptations of an eager implementation of conventional term rewriting systems. The overhead of lazy evaluation is only incurred when lazy evaluation is actually performed. Our method is modelled by a transformation of term rewriting systems, which concisely expresses the intricate interaction between pattern matching and lazy evaluation. The method easily extends to term graph rewriting.  CR Subject Classification (1991): D.3.4 [Programming languages]: Processors -- Compilers, Optimization; D.1.1 [Programming Techniques]: Applicative (Functional) Programming; D.1.6: Logic Programming.  AMS Subject Classification (1991): 68N20: Compilers and generators; 68Q05: Models of Computation; 68Q42: Rewriting Systems  Keywords & Phrases: lazy term rewriting, program transformation.  Note: Partial support received from the European Communities under the ESPRIT project 5399 (Compiler Generation for Parallel Machines -..."
10.1.1.38.6987,Reducing Disjunctive to Non-Disjunctive Semantics by Shift-Operations,1996,"It is wellknown that Minker's semantics GCWA for positive disjunctive programs P is  P  P  2 -complete , i.e. to decide if a literal is true in all minimal models of P . This is in  contrast to the same entailment problem for semantics of non-disjunctive programs such  as STABLE and SUPPORTED (both are co-NP-complete) as well as M  supp  P and WFS  (that are even polynomial).  Recently, the idea of reducing disjunctive to non-disjunctive programs by using so  called shift-operations was introduced independently by the authors and Marco Schaerf.  In fact, Schaerf associated to each semantics SEM for normal programs a corresponding  semantics Weak-SEM for disjunctive programs and asked for the properties of these  weak semantics, in particular for the complexity of their entailment relations. While  Schaerf concentrated on Weak-STABLE and Weak-SUPPORTED, we investigate the  weak versions of Apt, Blair, and Walker's stratified semantics M  supp  P  and of Van Gelder,  Ross, and Schlipf's ..."
10.1.1.38.6121,Confidence Measure Based Language Identification,2000,"In this paper we present a new application for confidence measures in spoken language processing. In today's computerized dialogue systems, language identification (LID) is typically achieved via dedicated modules. In our approach, LID is integrated into the speech recognizer, therefore profiting from high-level linguistic knowledge at very little extra cost. Our new approach is based on a word lattice based confidence measure [3], which was originally devised for unsupervised training. In this work, we show that the confidence based language identification algorithm outperforms conventional score based methods. Also, this method is less dependent on the acoustic characteristics of the transmission channel than score based methods. By introducing additional parameters, unknown languages can be rejected. The proposed method is compared to a score based approach on the Verbmobil database, a three language task."
10.1.1.38.4946,Amoeba --- A Distributed Operating System for the 1990s,1990,"Amoeba is the distributed system developed at the Free University (VU)  and Centre for Mathematics and Computer Science (CWI), both in Amsterdam.  Throughout the project's ten-year history, a major concern of the designers has  been to combine the research themes of distributed systems, such as high availability,  use of parallelism and scalability, with simplicity and high performance.  Distributed systems are necessarily more complicated than centralized systems,  so they have a tendency to be much slower. Amoeba was always designed to be  used, so it was deemed essential to achieve extremely high performance. We are  working hard to achieve this goal --- Amoeba is already one of the fastest distributed  systems (on its class of hardware) reported so far in the scientific literature  and future versions will be even faster.  The Amoeba software is based on objects. An object is a piece of data on  which well-defined operations may be performed by authorized users, independent  of whe..."
10.1.1.38.3573,"Is It ""Economics and Psychology""?: The Case of Hyperbolic Discounting",,"The paper questions the methodology of ""economics and psychology"". It focuses on the case of hyperbolic discounting. Using some experimental results, I argue that the same sort of evidence which rejects the standard constant discount utility functions can just as easily reject hyperbolic discounting as well. Furthermore, a decision-making procedure based on similarity relations better explains the observations and is more intuitive. The paper concludes that combining ""economics and psychology"" requires opening the black box of decision-makers rather than modifying functional forms. Key words: Hyperbolic discounting, choice over time, similarity, procedure, decision making.  Page 3 1. Introduction  My interest in this paper is how we, theoretical economists, interpret experimental evidence to justify our assumptions. Rather than presenting an abstract discussion, I will focus on one currently fashionable topic in the application of economic theory: ""hyperbolic discounting"". A recent sp..."
10.1.1.38.2752,Speculative Execution And Instruction-Level Parallelism,1994,"Full exploitation of instruction-level parallelism by superscalar and similar  architectures requires speculative execution, in which we are willing to issue a  potential future instruction early even though an intervening branch may  send us in another direction entirely. Speculative execution can be based either  on branch prediction, where we explore the most likely path away from  the branch, or on branch fan-out, in which we explore both paths and  sacrifice some hardware parallelism for the sake of not being entirely wrong.  Recent techniques for branch prediction have greatly improved its potential  success rate; we measure the effect this improvement has on parallelism. We  also measure the effect of fan-out, alone and also in combination with a  predictor. Finally, we consider the effect of fallible instructions, those that  might lead to spurious program failure if we execute them speculatively;  simply refusing to do so can drastically reduce the parallelism. "
